M,K,N
1,768,2
1,2,768
1,768,768
2,128,768
2,512,1536
2,512,4096
2,1024,768
2,512,1024
2,512,768
2,128,512
2,1,768
2,512,256
9,64,3072
28,2560,2560
28,1024,1024
32,128,4
32,128,16
54,512,384
64,512,16
64,128,6
64,512,12
64,128,4
64,512,6
64,9,3072
64,512,4
64,1024,8
64,128,12
64,1,3072
64,512,36
64,2048,12
64,512,64
64,512,24
64,256,16
64,1024,16
64,1024,12
64,128,16
80,128,32
128,128,32
128,256,256
128,2560,2560
128,256008,1024
128,2048,512
128,1024,512
128,384,512
128,512,512
128,250112,512
128,512,250112
128,1024,4096
128,512,2048
128,2560,10240
128,32,16
128,2560,8008
128,512,256
128,768,768
128,512,384
128,64,6
128,30522,768
128,2,512
128,80,32
128,8008,2560
128,2048,256
128,256,10000
128,2,768
128,4096,1024
128,3072,768
128,1024,256008
128,30522,512
128,64,12
128,512,30522
128,768,3072
128,128,16
128,64,4
128,512,128
128,128,12
128,50265,1024
128,32,4
128,50265,512
128,1024,128112
128,128112,1024
128,10240,2560
128,64,16
128,128,128
128,128,4
128,512,50265
128,1024,1024
128,10000,256
128,768,30522
128,1024,50265
128,512,1024
128,512,2
128,768,2
128,128,512
128,128,6
128,256,2048
128,512,4096
256,64,16
256,4096,1024
256,1024,1024
256,512,256
256,256,16
256,512,128
256,64,48
256,128,2048
256,50265,1024
256,1024,4096
256,1024,50265
256,512,1024
256,128,256
256,768,48
384,128,512
384,54,512
384,512,768
512,32000,768
512,1024,512
512,512,64
512,64,16
512,16384,4096
512,128,384
512,64,4
512,128,30522
512,128,30000
512,128,512
512,1536,128100
512,256,256
512,30522,128
512,30522,768
512,64,36
512,1536,6144
512,1024,1024
512,512,24
512,1024,29056
512,128,128
512,256,2
512,768,768
512,768,50265
512,4096,4096
512,768,30522
512,512,12
512,4096,16384
512,512,16
512,768,50257
512,384,54
512,512,36
512,30000,128
512,32000,1024
512,1024,256
512,768,2304
512,384,768
512,4096,1024
512,128,4096
512,128,2048
512,4096,128
512,2,768
512,32005,768
512,29056,1024
512,256,1024
512,3072,768
512,128100,1536
512,1024,4096
512,50257,768
512,64,12
512,64,64
512,768,384
512,512,6
512,256,128
512,1536,2
512,1024,32000
512,64,6
512,1024,16
512,1536,1536
512,512,4
512,768,32000
512,2304,768
512,2,1024
512,6144,1536
512,768,2
512,2,256
512,768,32005
512,2,1536
512,128,1024
512,2,4096
512,1024,2
512,128,256
512,768,3072
512,64,24
512,1024,2048
512,50265,768
512,4096,2
768,512,3072
768,1024,768
768,2048,3072
768,512,2304
768,256,48
768,1024,2304
768,128,3072
768,512,768
768,1024,3072
768,1,768
768,2048,768
768,128,768
1024,2304,768
1024,1024,12
1024,512,512
1024,2,768
1024,256,1024
1024,512,2048
1024,128,512
1024,50005,768
1024,50265,1024
1024,512,256
1024,768,3072
1024,1024,4096
1024,1024,16
1024,768,2
1024,50265,768
1024,128,1024
1024,32128,512
1024,3072,768
1024,256,4096
1024,512,1024
1024,1024,8
1024,128,4096
1024,4096,1024
1024,768,50005
1024,768,768
1024,1024,50265
1024,2048,512
1024,768,2304
1024,768,50265
1024,64,16
1024,512,4096
1024,64,12
1024,1024,1024
1024,512,32128
1024,64,8
1536,512,1536
1536,512,6144
2048,768,768
2048,2048,12
2048,768,50272
2048,3072,768
2048,1024,512
2048,768,3072
2048,128,512
2048,50272,768
2048,128,256
2048,64,12
2304,512,768
2560,128,2560
2560,128,10240
3072,2048,768
3072,128,768
3072,512,768
3072,1024,768
4096,512,128
4096,1024,1024
4096,512,16384
4096,256,1024
4096,512,4096
4096,128,1024
4096,512,1024
6144,512,1536
8008,128,2560
10000,128,256
10240,128,2560
16384,512,4096
29056,512,1024
30000,512,128
30522,512,768
30522,512,128
30522,128,768
32000,512,1024
32000,512,768
32005,512,768
32128,1024,512
50005,1024,768
50257,512,768
50265,512,768
50265,128,1024
50265,256,1024
50265,128,512
50265,1024,1024
50265,1024,768
50272,2048,768
128112,128,1024
250112,128,512
